"Saison","Championnat","Joueur","Équipe","Place","Âge","Valeur.marchande","Contrat.expiration","Pays.de.naissance","Passeport.pays","Pied","Prêté","Taille","Poids","Matchs.joués","Minutes.jouées","Expected.Goal","Buts.par.90.min","G.XG","Taux.de.conversion.but.tir","Buts.de.la.tête.sur.90.min","Touches.de.balle.dans.la.surface.de.réparation.sur.90.min","Buts.hors.penalty.par.90","penalty.par.90.min","Tirs.cadrés","Dribbles.par.90.min","Dribbles.réussis","PCT_Dribbles.réussis","Efficacité.Buts","Duels.offensifs.par.90.min","Duels.offensifs.réussis","PCT_Duels.offensifs.réussis","Centres","Centres.réussis","PCT_Centres.réussis","Courses.progressives.par.90.min","Possession.ajustée","Duels.aériens.par.90.min","Duels.aériens.réussis","PCT_Duels.aériens.réussis","PAdj.Sliding.tackles","Succ..déf..sur.90","Duels.defensifs.par.90.min","Duels.defensifs.réussis","PCT_Duels.defensifs.réussis","Tacles.glissés.sur.90.min","Fautes.par.90.min","Cartons.jaunes.par.90.min","Cartons.rouges.par.90.min","Tirs.bloqués.par.90","Interceptions..sur.90.min","PAdj.Interceptions","Longueur.moyenne.de.passe.longue.en.m","Passes.par.90.min","Passes.réussies","PCT_Passes.réussies","Passes.avant.par.90","Passes.avant.réussies","PCT_Passes.avant.réussies","PCT_Passes.avant","Passes.arrière.par.90","Passes.arrière.réussies","PCT_Passes.arrière.réussies","PCT_Passes.arrière","Passes.latérales.par.90","Passes.latérales.réussies","PCT_Passes.latérales.réussies","PCT_Passes.latérales","PCT_Passes.longues.réussies","Passe.moyenne.longueur..m","Lng.passes.par.90","Passes.décisives.par.90.min","Passes.quasi.décisives.par.90","Réalisations.en.profondeur.par.90","Expected.Pass.D","Secondes.passes.décisives.par.90","Troisièmes.passes.décisives.par.90","Passes.judicieuses.par.90","Passes.judicieuses.réussies","PCT_Passes.judicieuses.réussies","Passes.der.tiers","Passes.der.tiers.réussies","PCT_Passes.der.tiers.réussies","Passes.surface.réparation","Passes.surface.réparation.réussies","PCT_Passes.surface.réparation.réussies","PCT_Passes.surface.réparation","Passes.profondeur","Passes.profondeur.réussies","PCT_Passes.profondeur.réussies","PCT_Passes.profondeur","Passes.progressives.par.90","Passes.progressives.réussies","PCT_Passes.progressives.réussies","PCT_Passes.progressives","milieu_def","Poste","note","vingtile_Expected.Goal","vingtile_Buts.par.90.min","vingtile_G.XG","vingtile_Taux.de.conversion.but.tir","vingtile_Buts.de.la.tête.sur.90.min","vingtile_Touches.de.balle.dans.la.surface.de.réparation.sur.90.min","vingtile_Buts.hors.penalty.par.90","vingtile_penalty.par.90.min","vingtile_Tirs.cadrés","vingtile_Dribbles.par.90.min","vingtile_Dribbles.réussis","vingtile_PCT_Dribbles.réussis","vingtile_Efficacité.Buts","vingtile_Duels.offensifs.par.90.min","vingtile_Duels.offensifs.réussis","vingtile_PCT_Duels.offensifs.réussis","vingtile_Centres","vingtile_Centres.réussis","vingtile_PCT_Centres.réussis","vingtile_Courses.progressives.par.90.min","vingtile_Possession.ajustée","vingtile_Duels.aériens.par.90.min","vingtile_Duels.aériens.réussis","vingtile_PCT_Duels.aériens.réussis","vingtile_PAdj.Sliding.tackles","vingtile_Succ..déf..sur.90","vingtile_Duels.defensifs.par.90.min","vingtile_Duels.defensifs.réussis","vingtile_PCT_Duels.defensifs.réussis","vingtile_Tacles.glissés.sur.90.min","vingtile_Fautes.par.90.min","vingtile_Cartons.jaunes.par.90.min","vingtile_Cartons.rouges.par.90.min","vingtile_Tirs.bloqués.par.90","vingtile_Interceptions..sur.90.min","vingtile_PAdj.Interceptions","vingtile_Longueur.moyenne.de.passe.longue.en.m","vingtile_Passes.par.90.min","vingtile_Passes.réussies","vingtile_PCT_Passes.réussies","vingtile_Passes.avant.par.90","vingtile_Passes.avant.réussies","vingtile_PCT_Passes.avant.réussies","vingtile_PCT_Passes.avant","vingtile_Passes.arrière.par.90","vingtile_Passes.arrière.réussies","vingtile_PCT_Passes.arrière.réussies","vingtile_PCT_Passes.arrière","vingtile_Passes.latérales.par.90","vingtile_Passes.latérales.réussies","vingtile_PCT_Passes.latérales.réussies","vingtile_PCT_Passes.latérales","vingtile_PCT_Passes.longues.réussies","vingtile_Passe.moyenne.longueur..m","vingtile_Lng.passes.par.90","vingtile_Passes.décisives.par.90.min","vingtile_Passes.quasi.décisives.par.90","vingtile_Réalisations.en.profondeur.par.90","vingtile_Expected.Pass.D","vingtile_Secondes.passes.décisives.par.90","vingtile_Troisièmes.passes.décisives.par.90","vingtile_Passes.judicieuses.par.90","vingtile_Passes.judicieuses.réussies","vingtile_PCT_Passes.judicieuses.réussies","vingtile_Passes.der.tiers","vingtile_Passes.der.tiers.réussies","vingtile_PCT_Passes.der.tiers.réussies","vingtile_Passes.surface.réparation","vingtile_Passes.surface.réparation.réussies","vingtile_PCT_Passes.surface.réparation.réussies","vingtile_PCT_Passes.surface.réparation","vingtile_Passes.profondeur","vingtile_Passes.profondeur.réussies","vingtile_PCT_Passes.profondeur.réussies","vingtile_PCT_Passes.profondeur","vingtile_Passes.progressives.par.90","vingtile_Passes.progressives.réussies","vingtile_PCT_Passes.progressives.réussies","vingtile_PCT_Passes.progressives","vingtile_note"
"2025/2026","Ligue 2 - J14","J. Guevara","Bastia","LCB",24,0,"2026-06-30","Colombia","Colombia","droite","oui",180,80,9,765,0.0458823529411765,0,0,0,0,0.82,0,0,0,0.47,0.235,50,0,2.59,1.177155,45.45,0,0,25,0.94,0,5.65,3.178125,56.25,0,6.94,5.29,3.761719,71.11,0,1.65,0.35,0,0.59,3.18,5.16,37.79,52.24,46.942864,89.86,19.88,15.762852,79.29,0.380551301684533,2.47,2.352428,95.24,0.0472817764165391,24.12,23.767848,98.54,0.461715160796325,57.69,19.44,6.12,0,0,0.24,0.03,0,0,0,0,0,6.24,4.709328,75.47,0.35,0,0,0.00669984686064318,0.24,0,0,0.00459418070444104,8.59,5.765608,67.12,0.164433384379786,FALSE,"D.Central",6.87971526898837,6,3,3,3,7,7,3,9,1,3,3,7,3,4,4,13,0,1,3,8,1,18,18,16,1,9,8,11,18,1,16,18,8,18,9,11,17,18,18,19,18,18,18,15,2,2,13,1,19,19,20,19,14,13,17,4,1,4,6,6,7,2,4,4,15,17,16,1,0,0,1,4,2,1,3,16,15,6,10,9
"2025/2026","Ligue 2 - J14","M. Huard","Red Star","LCB, LB, LWB",27,350000,"","France","France","gauche","non",178,75,11,752,0.160372340425532,0.12,0.748258706467662,25,0,1.91,0.12,0,0.36,0.6,0.36,60,0.746268656716418,1.2,0.72,60,1.91,0.358125,25,2.87,1.41666666666667,3.83,1.675625,43.75,0.51,7.18,5.86,3.587492,61.22,0.36,2.27,0.36,0,0,3.23,4.6,34.74,49.43,42.129189,85.23,19.51,14.841257,76.07,0.394699575156787,5.27,5.030215,95.45,0.106615415739429,18.55,16.75436,90.32,0.375278171151123,46.67,20.69,5.39,0,0.24,0.6,0.03,0.12,0,0,0,0,9.34,6.825672,73.08,2.63,0.717201,27.27,0.0532065547238519,0.6,0.00144,0.24,0.0121383775035404,9.22,7.543804,81.82,0.18652640097107,FALSE,"D.Central",7.10981781434218,13,12,9,18,7,12,12,9,11,4,4,13,9,1,2,19,14,10,3,18,13,14,13,10,13,9,10,10,10,13,19,18,8,2,9,10,14,17,17,15,18,18,16,15,10,10,14,5,17,16,14,14,6,16,16,4,9,10,6,18,7,2,4,4,19,19,15,14,9,2,9,10,9,8,7,17,18,17,14,16
"2025/2026","Ligue 2 - J14","B. Danger","Red Star","LCB, CB",27,1000000,"2027-06-30","France","France","droite","non",180,69,12,751,0.0910785619174434,0.12,1.31754385964912,20,0,0.72,0.12,0,0.36,0.36,0.240012,66.67,1.31578947368421,4.31,1.795977,41.67,0.36,0.119988,33.33,1.2,1.375,2.64,1.19988,45.45,0.33,9.23,6.83,4.19362,61.4,0.24,1.08,0.36,0,0.36,4.79,6.67,38.46,56.68,49.249252,86.89,21.69,15.937812,73.48,0.382674664784757,4.43,4.43,100,0.0781580804516584,24.57,23.491377,95.61,0.43348623853211,44.62,21.56,7.79,0,0,0.24,0,0,0,0,0,0,5.99,3.9534,66,1.44,0.240048,16.67,0.0254057868736768,0.24,0.000288,0.12,0.00423429781227946,9.11,5.633624,61.84,0.160726887791108,FALSE,"D.Central",6.95664169674841,10,12,14,17,7,6,12,9,11,2,3,16,15,7,7,10,5,5,11,10,12,9,10,11,10,14,14,14,10,10,10,18,8,15,15,16,17,19,19,17,19,19,14,15,7,8,19,3,19,19,18,18,5,17,19,4,1,4,1,6,7,2,4,4,15,15,10,8,3,1,5,4,5,5,3,17,15,3,10,12
"2025/2026","National 1 - J13","R. Thomas","Valenciennes","LCB, CB",37,250000,"","France","France","gauche","non",193,84,8,727,0.101513067400275,0,0,0,0,1.11,0,0,0.248,0.12,0,25,0,1.24,0.496,40,0.12,0,25,0.37,1.5,5.69,3.463503,60.87,0.18,5.82,3.96,2.598948,65.63,0.12,0.99,0.25,0.12,0,3.09,4.49,40,53.48,47.164012,88.19,18.07,13.366379,73.97,0.337883320867614,1.98,1.98,100,0.0370231862378459,30.33,29.338209,96.73,0.567127898279731,54.69,22.84,7.92,0,0,0.37,0,0,0,0,0,0,5.57,3.342,60,0.87,0.248559,28.57,0.0162677636499626,0.37,0,0,0.00691847419596111,9.04,6.934584,76.71,0.169035153328347,FALSE,"D.Central",6.99588395232016,11,3,3,3,7,9,3,9,9,1,0,0,3,2,1,8,2,1,3,2,16,18,19,17,6,6,4,5,14,6,8,15,20,2,9,9,19,18,18,18,17,17,14,12,1,1,19,0,20,20,19,20,12,19,19,4,1,6,1,6,7,2,4,4,14,12,6,5,4,3,3,6,2,1,4,17,18,14,11,13
"2025/2026","Ligue 2 - J14","T. Pellenard","Laval","LCB",31,1000000,"","France","France","gauche","non",184,78,9,725,0.130344827586207,0,0,0,0,0.87,0,0,0.248,0.25,0.125,50,0,1.37,0.747335,54.55,0.37,0.123321,33.33,0.99,1.30645161290323,3.6,2.23452,62.07,0.81,8.32,6.21,4.347,70,0.62,1.37,0.12,0.25,0.74,3.35,4.38,38.8,51.77,42.456577,82.01,23.71,16.758228,70.68,0.457987251303844,0.87,0.621441,71.43,0.0168050994784624,22.97,21.355209,92.97,0.443693258644002,41.67,22.65,8.94,0,0,0.12,0,0,0,0,0,0,7.7,4.09871,53.23,1.12,0.373296,33.33,0.0216341510527332,0.12,0.000144,0.12,0.00231794475564999,10.3,6.20472,60.24,0.198956924859958,FALSE,"D.Central",6.82327311213422,12,3,3,3,7,7,3,9,9,2,1,7,3,2,2,18,5,5,11,8,9,13,16,18,17,12,12,14,17,17,14,7,20,19,10,9,18,18,17,12,19,19,12,18,0,0,0,0,18,18,16,18,4,19,20,4,1,2,1,6,7,2,4,4,18,15,3,6,5,4,4,2,4,5,1,19,16,2,15,7
"2025/2026","Ligue 2 - J14","E. Ahouonon","Reims","LCB, RCB",21,0,"","Côte d'Ivoire","Côte d'Ivoire","droite","non",188,84,8,685,0.0748905109489051,0,0,0,0,0.79,0,0,0.394312,0.53,0.53,75,0,2.23,1.574157,60,0.53,0.1325,25,0.53,1.36363636363636,3.55,2.10373,59.26,0.9,10.25,5.39,4.075379,75,0.66,0.92,0.26,0,0.26,5.52,7.59,37.82,54.53,47.304775,86.75,21.42,15.900066,74.23,0.392811296534018,2.76,2.497248,90.48,0.0506143407298735,23.65,22.59994,95.56,0.433706216761416,46.15,18.4,6.83,0,0,0,0.01,0,0.13,0,0,0,7.75,4.860025,62.71,0.92,0.131468,14.29,0.0168714469099578,0,0,0.13,0,8.15,5.389595,66.13,0.149459013387126,FALSE,"D.Central",6.98941931145366,9,3,3,3,7,7,3,9,11,3,6,19,3,4,6,19,6,6,3,3,11,13,15,17,17,17,9,13,20,17,7,15,8,13,18,18,17,19,18,17,19,19,15,15,3,2,5,1,19,19,18,18,6,10,18,4,1,0,3,6,19,2,4,4,18,17,7,5,2,1,3,0,2,6,0,16,14,5,8,13
"2025/2026","National 1 - J13","Y. N''Diaye","Stade Briochin","LCB, CB",28,75000,"","Senegal","Senegal","droite","non",190,83,9,666,0.0689189189189189,0,0,0,0,0.54,0,0,0.272,0,0,25,0,2.03,0.541401,26.67,0,0,25,0.27,1.17073170731707,7.57,4.461001,58.93,0.48,7.7,3.78,2.294838,60.71,0.41,1.22,0.14,0,0.68,5,5.94,35.73,37.57,33.516197,89.21,16.08,13.106808,81.51,0.428001064679265,3.78,3.78,100,0.100612190577588,13.65,12.974325,95.05,0.363321799307958,59.46,21.03,5,0,0,0.14,0.01,0,0,0,0,0,4.05,2.835,70,0.54,0.135,25,0.0143731700825126,0.14,0,0,0.00372637742879957,5.95,4.327435,72.73,0.158371040723982,FALSE,"D.Central",6.9484065078448,8,3,3,3,7,4,3,9,9,0,0,0,3,3,1,1,0,1,3,1,4,19,19,17,13,10,3,4,10,14,12,8,8,19,16,14,15,12,14,18,15,17,19,17,5,6,19,4,13,14,18,14,15,16,15,4,1,2,3,6,7,2,4,4,9,10,13,3,2,2,3,2,2,1,2,10,11,10,10,11
"2025/2026","National 1 - J13","A. Barry","Paris 13 Atletico","LCB, CB",25,100000,"","France","France, Guinea","droite","non",185,80,7,647,0.0236476043276662,0,0,0,0,0.14,0,0,0,0,0,25,0,1.67,0.278389,25,0,0,25,0.7,1.30952380952381,1.95,0.696345,35.71,0.55,9.6,4.45,3.615625,75,0.42,0.7,0.42,0,0.7,5.56,7.32,40,31.72,26.85098,84.65,14.61,11.41041,78.1,0.460592686002522,3.2,2.78272,86.96,0.100882723833544,12.24,11.26692,92.05,0.385876418663304,45.83,21.52,3.34,0,0,0,0,0,0,0.14,0,0,3.76,2.228176,59.26,0,0,0,0,0,0,0,0,5.29,2.923254,55.26,0.166771752837327,FALSE,"D.Central",6.68402801920025,3,3,3,3,7,1,3,9,1,0,0,0,3,3,0,0,0,1,3,5,9,6,5,6,14,15,5,11,20,14,4,19,8,19,18,17,19,9,10,15,14,15,17,19,4,3,2,4,12,13,15,15,6,17,11,4,1,0,1,6,7,8,4,4,9,8,5,0,0,0,0,0,2,1,0,9,6,1,11,3
"2025/2026","Ligue 2 - J14","W. Bianda","Laval","LCB, CB",25,200000,"2027-06-30","France","France, Cameroon","gauche","non",185,82,9,644,0.0307453416149068,0,0,0,0,0.14,0,0,0,0.56,0.42,75,0,1.68,0.559944,33.33,0.56,0.14,25,0.98,0,4.89,2.235219,45.71,0,7.55,4.89,3.073854,62.86,0,1.54,0.28,0,0.84,4.47,5.65,35.85,51.29,44.719751,87.19,21.24,16.628796,78.29,0.414115812049132,1.96,1.96,100,0.0382140768180932,21.38,20.122856,94.12,0.41684538896471,44.12,19.19,4.75,0,0,0.14,0,0,0,0,0,0,5.73,3.494154,60.98,0.84,0.279972,33.33,0.0163774614934685,0.14,0.000196,0.14,0.00272957691557809,8.52,6.145476,72.13,0.166114252290895,FALSE,"D.Central",6.71482034676578,4,3,3,3,7,1,3,9,1,4,5,19,3,3,2,4,6,6,3,8,1,16,16,11,1,10,7,8,12,1,15,16,8,19,14,13,15,18,18,17,19,19,17,17,1,1,19,0,18,18,17,17,5,12,14,4,1,2,1,6,7,2,4,4,14,13,6,5,4,4,3,2,4,6,2,16,16,10,11,4
"2025/2026","National 1 - J13","M. Conté","Bourg-en-Bresse","LCB",21,0,"","France","France","unknown","non",193,0,7,640,0.02109375,0,0,0,0,0.14,0,0,0.14,0.14,0.14,75,0,2.67,1.264779,47.37,0,0,25,1.97,1.32142857142857,5.06,2.389332,47.22,0.37,8.3,6.19,4.501987,72.73,0.28,0.84,0,0.14,0.14,3.52,4.57,35.2,35.86,30.233566,84.31,17.58,13.3608,76,0.490239821528165,2.95,2.80958,95.24,0.0822643614054657,11.25,10.265625,91.25,0.313720022308979,61.54,20.2,5.48,0,0,0,0,0,0,0,0,0,5.06,3.513664,69.44,0.14,0,0,0.00390407138873397,0,0,0,0,7.17,5.201835,72.55,0.19994422755159,FALSE,"D.Central",6.61797969191809,3,3,3,3,7,1,3,9,6,1,2,19,3,4,5,14,0,1,3,15,9,17,16,12,11,12,12,15,18,11,6,1,20,9,10,10,14,11,12,15,17,17,16,19,3,3,13,3,10,12,15,9,16,15,16,4,1,0,1,6,7,2,4,4,12,13,12,0,0,0,0,0,2,1,0,13,14,10,15,2
"2025/2026","National 1 - J13","Y. Dede-Lhomme","Quevilly Rouen","LCB",23,0,"2026-06-30","France","France, French Guiana","gauche","non",184,0,9,597,0.0150753768844221,0,0,0,0,0.15,0,0,0,0.45,0.149985,33.33,0,1.66,0.75447,45.45,0.15,0.15,75,0.6,1.13333333333333,4.82,3.0125,62.5,0.17,8.74,5.88,3.920196,66.67,0.15,0.9,0.15,0.15,0.45,4.67,5.28,26.65,40.85,33.46432,81.92,24.12,17.940456,74.38,0.590452876376989,1.36,1.208904,88.89,0.0332925336597307,12.51,11.756898,93.98,0.306242350061199,67.74,22.77,9.35,0,0,0,0,0,0,0.15,0,0,6.03,3.618,60,0.45,0.149985,33.33,0.011015911872705,0,0,0.15,0,12.21,9.496938,77.78,0.298898408812729,FALSE,"D.Central",6.61975136385986,2,3,3,3,7,1,3,9,1,3,2,1,3,2,2,13,3,6,20,4,4,16,18,18,6,13,11,12,15,7,7,9,20,17,15,12,8,14,14,12,20,19,15,20,0,0,4,0,12,13,17,8,18,19,20,4,1,0,1,6,7,9,4,4,15,13,6,2,2,4,2,0,2,6,0,20,20,15,20,2
"2025/2026","Ligue 2 - J14","D. Gomis","Guingamp","RCB",31,0,"2027-06-30","Senegal","Senegal, France","droite","non",188,85,14,1403,0.0647897362794013,0.19,2.93256325632563,42.857,0.06,0.51,0.19,0,0.25713,0.9,0.25713,28.57,2.97029702970297,3.4,1.34708,39.62,0.06,0,25,2.18,1.36842105263158,3.91,3.076779,75,0.52,8.79,4.3,3.33723,75,0.38,0.64,0.19,0,0.96,5.07,6.81,40,55.42,50.864476,91.78,19.37,16.162328,83.44,0.349512811259473,3.85,3.721795,96.67,0.0694695055936485,27.2,26.68592,98.11,0.49079754601227,50.94,20.48,3.4,0,0,0.58,0.02,0,0.19,0,0,0,4.43,3.402683,76.81,0.77,0.385,50,0.0138939011187297,0.58,0,0,0.0104655359076146,6.16,4.491872,72.92,0.111151208949838,FALSE,"D.Central",7.09540198330361,8,14,19,20,17,4,15,9,9,5,3,1,19,6,5,8,1,1,3,16,11,14,18,20,14,13,5,9,20,14,3,12,8,20,16,16,19,19,19,20,18,19,19,13,5,6,16,3,19,19,20,19,9,15,11,4,1,10,5,6,20,2,4,4,11,13,17,4,5,12,2,10,2,1,6,11,11,11,3,16
"2025/2026","Ligue 2 - J14","S. Bakayoko","Amiens SC","RCB",20,0,"2027-06-30","Côte d'Ivoire","Côte d'Ivoire, France","droite","non",0,0,14,1400,0.0912857142857143,0.06,0.657276995305164,20,0,0.39,0.06,0,0.064,0.32,0.192,60,0.704225352112676,2.19,1.352544,60,0,0,25,0.19,1.23076923076923,2.64,1.287792,48.78,0.16,8.1,4.82,3.599094,74.67,0.13,0.64,0.06,0,0.64,4.37,5.27,37.39,36.13,31.888338,88.26,14.21,10.995698,77.38,0.393301965125934,1.86,1.79583,96.55,0.0514807639081096,16.59,15.883266,95.74,0.459175200664268,45.45,20.26,3.54,0,0,0,0,0.06,0,0,0,0,2.64,1.287792,48.78,0.26,0,0,0.00719623581511209,0,0,0,0,4.37,2.506195,57.35,0.120952117353999,FALSE,"D.Central",6.815045882529,10,8,8,17,7,3,9,9,3,2,2,13,9,4,5,19,0,1,3,1,6,9,11,12,6,12,7,10,19,6,3,3,8,18,14,12,16,11,13,18,13,15,17,15,1,1,16,1,16,16,18,18,5,15,11,4,1,0,1,14,7,2,4,4,5,4,1,1,0,0,1,0,2,1,0,6,5,2,4,7
"2025/2026","Ligue 2 - J14","T. Eyoum","Le Mans","RCB",23,0,"2028-06-30","France","France","droite","non",181,76,14,1395,0.0206451612903226,0,0,0,0,0.52,0,0,0.128565,0.06,0.06,75,0,1.42,0.77461,54.55,0.13,0.065,50,1.42,1.33333333333333,4.52,2.324636,51.43,0.08,8.26,5.48,3.739552,68.24,0.06,1.03,0.06,0,0.32,4.45,5.86,38.29,46.9,40.06198,85.42,22.71,17.677464,77.84,0.484221748400853,2.77,2.705459,97.67,0.0590618336886994,17.68,16.647488,94.16,0.376972281449893,60,21.04,6.77,0,0.06,0.19,0,0,0,0,0,0,7.16,4.709132,65.77,0.65,0.26,40,0.0138592750533049,0.19,0.000114,0.06,0.00405117270788913,10.58,7.483234,70.73,0.225586353944563,FALSE,"D.Central",6.87500906883995,3,3,3,3,7,4,3,9,5,0,1,19,3,2,3,18,2,4,18,12,10,16,16,14,3,12,9,11,16,4,9,3,8,15,14,13,17,17,17,16,19,19,17,19,3,3,18,2,16,16,17,15,15,16,18,4,4,3,1,6,7,2,4,4,17,17,9,3,4,7,2,3,4,4,3,19,18,9,17,9
"2025/2026","Ligue 2 - J14","D. Durivaux","Red Star","RCB, LCB",24,400000,"2027-06-30","France","France","droite","non",177,80,14,1394,0.00839311334289814,0.06,7.14871794871795,14.286,0,0.19,0.06,0,0.25713,1.29,0.774,60,7.69230769230769,5.29,2.903152,54.88,2.13,0.709929,33.33,1.36,0,1.94,1.099398,56.67,0,8.33,5.62,4.134072,73.56,0,0.39,0.06,0,0.97,4.2,5.86,38.16,60.75,52.93755,87.14,25.63,20.52963,80.1,0.421893004115226,8.07,7.81176,96.8,0.13283950617284,20.47,18.725956,91.48,0.336954732510288,50.96,19.75,6.71,0.06,0.06,0.52,0.03,0.13,0,0,0,0,9.04,7.038544,77.86,2.84,1.29078,45.45,0.0467489711934156,0.52,0.003692,0.71,0.008559670781893,11.56,9.170548,79.33,0.190288065843621,FALSE,"D.Central",6.75545229995888,1,8,19,14,7,1,9,9,9,7,8,13,20,9,12,18,14,15,11,11,1,6,9,16,1,12,10,13,19,1,1,3,8,20,13,13,17,19,19,17,20,20,18,17,17,17,16,6,18,17,15,11,9,14,18,10,4,9,6,18,7,2,4,4,19,19,17,15,15,10,8,9,13,15,5,19,20,16,14,5
"2025/2026","Ligue 2 - J14","A. Monfray","Troyes","RCB",34,350000,"2026-06-30","France","France, Algeria","droite","non",185,76,14,1389,0.0375809935205184,0,0,0,0,0.45,0,0,0.193314,0.19,0.063327,33.33,0,1.1,0.38819,35.29,0.19,0.126673,66.67,0.32,1.30769230769231,3.76,2.074392,55.17,0.17,9.72,5.18,3.43175,66.25,0.13,0.39,0.19,0,0.52,6.16,8.05,40,58.38,51.444456,88.12,26.18,21.967638,83.91,0.448441247002398,3.11,3.11,100,0.053271668379582,25.14,23.45562,93.3,0.430626927029805,65.07,23.47,9.46,0,0,0.13,0,0,0,0,0,0,7.58,5.053586,66.67,0.65,0.325,50,0.0111339499828708,0.13,0.000169,0.13,0.00222678999657417,12.96,9.9144,76.5,0.221993833504625,FALSE,"D.Central",6.9841907355281,5,3,3,3,7,3,3,9,7,1,1,1,3,1,1,5,3,6,19,2,9,14,15,15,6,16,8,10,15,6,1,12,8,17,19,19,19,19,19,18,20,20,19,18,3,4,19,1,19,19,16,17,18,19,20,4,1,2,1,6,7,2,4,4,18,17,10,3,5,12,2,2,4,6,1,20,20,14,17,13
"2025/2026","Ligue 2 - J14","T. Delphis","Annecy","RCB, RWB",23,0,"2029-06-30","France","France","droite","non",183,75,14,1286,0.0118973561430793,0,0,0,0,0.07,0,0,0,0.07,0,25,0,0.63,0.350028,55.56,0.28,0,25,0.35,1.28571428571429,3.43,2.240133,65.31,0.09,5.04,3.43,1.749986,51.02,0.07,1.19,0.21,0,0.14,3.22,4.21,29.68,30.65,24.351425,79.45,17.43,13.15965,75.5,0.568678629690049,2.52,2.379888,94.44,0.0822185970636215,7.14,6.22965,87.25,0.232952691680261,68.42,19.09,5.32,0,0,0,0.01,0,0,0,0,0,6.51,4.760112,73.12,0.7,0.14,20,0.0228384991843393,0,0,0,0,9.24,6.859776,74.24,0.301468189233279,FALSE,"D.Central",6.53244518756293,2,3,3,3,7,0,3,9,1,0,0,0,3,0,1,18,4,1,3,2,8,12,16,19,4,5,2,2,3,4,11,13,8,9,9,9,10,8,8,10,17,17,15,20,2,2,12,3,5,6,12,1,18,12,16,4,1,0,3,6,7,2,4,4,16,17,15,4,2,1,4,0,2,1,0,17,17,12,20,1
"2025/2026","National 1 - J13","M. Zogba","Le Puy F.43 Auvergne","RCB",25,100000,"","France","France","droite","non",190,0,13,1280,0.028828125,0.07,2.42818428184282,20,0.07,0.7,0.07,0,0.14,0.49,0.419979,75,2.4390243902439,1.76,0.7744,44,1.55,0.634105,40.91,0.98,1.35714285714286,3.45,2.182815,63.27,0.19,5.84,3.16,2.457848,75,0.14,0.42,0.21,0,0.77,3.23,4.31,39.15,50.13,43.452684,86.68,25.59,20.809788,81.32,0.510472770795931,3.3,3.08946,93.62,0.0658288450029922,15.54,14.626248,94.12,0.309994015559545,54.12,20.21,5.98,0.14,0.35,0.21,0.07,0.07,0,0.07,0.07,100,9.42,7.310862,77.61,2.04,0.773772,37.93,0.0406941950927588,0.21,0.00147,0.7,0.00418910831837223,11.74,9.420176,80.24,0.234191103131857,FALSE,"D.Central",6.91949830130578,4,9,18,17,17,6,9,9,6,3,5,19,19,3,3,12,12,14,15,8,11,13,15,18,6,6,2,5,20,7,1,13,8,19,9,9,18,18,18,17,20,20,19,20,4,4,10,2,15,15,17,8,11,15,17,15,12,3,10,15,7,6,10,19,19,19,17,12,10,6,7,3,9,15,3,20,20,16,18,10
"2025/2026","Ligue 2 - J14","A. Julloux","Nancy","RCB, RB",29,250000,"2026-06-30","France","France","droite","non",187,79,14,1275,0.0317647058823529,0,0,0,0,0.49,0,0,0,0.78,0.283608,36.36,0,2.33,1.058985,45.45,1.55,0.634105,40.91,0.78,0,2.26,1.27125,56.25,0,8.75,6,4.0236,67.06,0,0.56,0.07,0,0.49,4.73,6.17,31.7,32.47,24.917478,76.74,14.96,10.160832,67.92,0.460732984293194,3.11,2.756704,88.64,0.0957807206652294,11.08,9.73932,87.9,0.341238065906991,56.84,21.28,6.71,0,0,0.35,0.02,0,0,0,0,0,5.44,3.249856,59.74,2.05,0.777565,37.93,0.0631352017246689,0.35,0.00224,0.64,0.0107791807822605,8.47,6.422801,75.83,0.260856174930705,FALSE,"D.Central",6.62974341877674,4,3,3,3,7,4,3,9,1,5,3,2,3,4,4,13,12,14,15,6,1,7,10,16,1,13,11,13,15,1,2,4,8,17,15,14,11,9,9,7,14,13,9,19,3,3,3,4,10,11,13,12,13,17,18,4,1,6,5,6,7,2,4,4,13,12,5,12,10,6,11,6,11,14,7,16,17,13,19,2
